time,X_value,Y_value,Z_value
0.000,0.00000,0.00000,0.00000
0.127,-2.20650,6.83741,6.30622
0.228,-2.05667,6.78293,6.48329
0.327,-2.02943,6.83741,6.25174
0.427,-2.02943,6.82379,6.17002
0.535,-1.96133,7.15068,6.52415
0.634,-2.47890,6.61949,5.96571
0.733,-1.90685,6.57863,6.48329
0.831,-2.08391,6.52415,6.71483
0.932,-2.22012,6.46967,6.51053
1.041,-2.57425,6.36070,6.96000
1.136,-3.01010,5.82951,6.37432
1.233,-2.54700,5.89761,6.41518
1.333,-3.96352,4.93057,7.81808
1.438,-4.31765,4.34489,6.10192
1.531,0.88532,5.66606,6.67397
1.649,0.50395,4.78074,8.06325
1.740,0.88532,3.88180,8.56720
1.835,3.21440,2.68321,8.74426
1.936,2.57425,1.53910,9.43890
2.063,3.90904,1.14411,6.85104
2.133,2.92837,-0.20431,9.62959
2.235,5.85675,0.95342,7.45033
2.335,3.84094,0.66740,6.63311
2.433,5.57072,1.17135,7.50481
2.544,5.54348,1.57996,6.91914
2.632,4.57644,0.72188,8.32203
2.734,4.71264,0.54481,8.96219
2.835,5.59796,0.51757,8.63530
2.933,4.90333,1.77065,5.81589
3.034,6.17002,-0.74912,7.96790
3.133,12.83037,1.03515,4.76712
3.236,9.11201,-1.44376,-0.59930
3.336,10.58301,-1.00791,-2.92837
3.435,10.31060,0.14982,-0.13620
3.538,6.61949,-2.68321,-1.14411
3.635,9.12563,-1.96133,-1.66168
3.737,9.15287,-0.38137,1.72978
3.835,12.05401,-2.35632,2.56063
3.935,9.31632,-2.46528,7.00086
4.047,3.43233,-1.68892,9.41166
4.139,0.27241,-1.15773,6.74207
4.235,-1.90685,-2.57425,7.45033
4.337,-3.15992,-3.01010,7.24603
4.435,-4.26317,1.25307,4.18145
4.536,-4.93057,-1.02153,7.39585
4.638,-2.91475,-5.17573,14.31499
4.738,-2.90113,-3.99076,8.29479
4.836,-4.68540,-2.75131,7.51843
4.938,-4.93057,-3.29612,6.66035
5.036,-5.18935,-3.41871,7.43671
5.138,-3.01010,-0.83084,5.03953
5.236,-1.48462,-1.52548,2.69683
5.337,-3.47319,-8.44462,-1.11687
5.436,-8.00876,-6.48329,1.15773
5.536,-7.65464,-11.44109,-2.04305
5.636,-4.69902,-8.64892,5.38004
5.739,-7.57291,-6.48329,-1.68892
5.836,-3.30974,-8.11773,-0.70826
5.941,-2.20650,-9.84751,-4.44023
6.075,-2.01581,-9.77941,-2.73769
6.137,-3.06458,-10.99162,-3.90904
6.237,-4.20869,-6.86466,-3.09182
6.338,-3.92266,-7.50481,-3.70473
6.438,-4.34489,-7.09620,-3.17354
6.537,-3.33699,-7.45033,-3.21440
6.637,-5.29832,-8.43099,-3.48681
6.741,-3.89542,-9.31632,-2.86027
6.837,-2.41080,-8.67616,-3.80008
6.942,-3.13268,-8.59444,-4.35851
7.077,-3.35061,-8.45824,-4.23593
7.140,-2.04305,-9.05753,-3.40509
7.241,-3.81370,-10.43319,-3.73198
7.340,-2.12477,-8.68978,-4.14059
7.444,-2.92837,-7.47757,-4.75350
7.559,-2.45166,-8.04963,-5.14849
7.640,-5.06677,-5.33918,-4.49471
7.741,-4.29041,-9.47976,-1.36203
