time,X_value,Y_value,Z_value
0.000,0.00000,0.00000,0.00000
0.069,0.50395,2.01581,9.42528
0.129,0.17706,1.93409,9.09839
0.190,0.57205,1.81151,9.73855
0.255,0.47671,1.86599,8.96219
0.410,0.06810,1.64806,9.27546
0.510,-0.23155,1.72978,9.38442
0.612,0.12258,1.81151,8.63530
0.711,0.19068,1.75702,9.19374
0.813,0.65378,1.85237,9.09839
0.931,-0.13620,1.77065,9.60235
1.012,-0.38137,1.81151,8.92133
1.113,-0.23155,1.72978,9.38442
1.211,0.08172,1.92047,9.95647
1.315,-0.20431,1.86599,9.73855
1.414,-0.28603,1.85237,9.50700
1.514,0.04086,1.81151,9.09839
1.612,-0.28603,1.45738,8.82598
1.714,-0.12258,1.44376,9.31632
1.823,-0.27241,1.70254,9.38442
1.913,-0.23155,1.86599,9.53424
2.013,-0.23155,1.64806,9.65683
2.112,-0.23155,1.51186,9.26184
2.213,0.21793,1.34841,9.62959
2.312,0.02724,1.67530,9.69769
2.413,-0.06810,1.64806,9.60235
2.515,0.01362,1.33479,9.24822
2.615,-0.09534,1.41652,9.64321
2.716,0.14982,1.10325,9.16649
2.813,0.10896,1.11687,9.43890
2.917,0.21793,1.38928,9.80665
3.018,0.29965,1.51186,9.73855
3.118,0.13620,1.41652,9.56148
3.214,0.06810,1.02153,9.83389
3.317,0.40861,1.21221,9.67045
3.417,0.31327,1.29393,9.46614
3.517,0.31327,1.23945,8.53996
3.615,0.17706,1.08963,8.62168
3.715,0.29965,1.47100,9.53424
3.819,0.40861,1.33479,10.05182
3.946,0.08172,1.34841,9.95647
4.015,0.28603,1.63444,9.92923
4.117,0.28603,1.56634,9.77941
4.218,0.05448,1.53910,9.30270
4.315,0.02724,1.04877,8.98943
4.418,0.05448,0.99429,9.07115
4.516,0.21793,1.53910,9.34356
4.617,0.34051,1.47100,9.42528
4.716,0.13620,1.55272,9.22098
4.819,0.19068,1.26669,9.08477
4.949,0.19068,1.23945,9.47976
5.019,-0.23155,1.10325,9.22098
5.121,-0.35413,1.26669,8.53996
5.219,-0.57205,0.92618,9.11201
5.319,-0.76274,1.47100,9.47976
5.419,-0.76274,1.60720,9.38442
5.519,-0.78998,1.47100,9.31632
5.579,-0.32689,0.96704,8.73064
5.640,-0.39499,0.98067,9.73855
5.714,-0.38137,1.21221,9.50700
5.760,-0.19068,0.84446,8.70340
5.820,-0.80360,0.99429,8.53996
5.882,-1.11687,0.76274,8.79874
5.943,-0.91256,0.83084,9.22098
6.000,-1.11687,0.70826,8.73064
6.060,-0.81722,0.85808,10.56939
6.121,-0.93980,0.77636,9.90199
6.189,-0.62654,0.80360,10.09268
6.241,-0.85808,0.70826,9.92923
6.301,-0.73550,0.72188,9.69769
6.362,-1.00791,0.76274,9.32994
6.458,-1.18497,0.69464,9.39804
6.482,-1.21221,0.57205,9.15287
6.542,-1.37566,0.74912,10.05182
6.602,-1.10325,0.76274,9.60235
6.668,-1.21221,0.84446,9.12563
6.722,-1.32117,0.93980,9.83389
6.817,-1.10325,0.73550,9.26184
6.846,-0.81722,1.18497,11.48195
6.937,-1.22583,0.69464,9.67045
6.973,-0.28603,0.72188,12.55796
7.034,-0.93980,1.22583,10.88266
7.140,-0.89894,1.11687,9.04391
7.144,-1.72978,0.76274,9.19374
7.214,-1.57996,0.85808,8.98943
7.265,-1.74340,1.02153,9.28908
7.379,-1.59358,0.74912,8.33565
7.389,-1.70254,0.72188,8.36289
7.449,-1.52548,0.76274,8.51272
7.519,-1.41652,0.73550,8.28117
7.578,-1.04877,0.64016,9.94285
7.645,-1.06239,0.62654,9.12563
7.690,-0.84446,0.64016,8.97581
7.772,-0.76274,0.66740,8.75788
7.811,-0.34051,0.61292,10.39233
7.926,-0.24517,0.69464,9.98372
7.939,-0.04086,0.70826,9.86113
7.996,0.02724,0.80360,10.13354
8.077,-0.27241,0.84446,10.35146
8.119,-0.08172,0.62654,10.14716
8.194,0.02724,0.62654,8.94857
8.239,-0.01362,0.61292,9.77941
8.342,-0.25879,0.61292,8.34927
8.370,-0.13620,0.58567,8.73064
8.473,-0.24517,0.40861,8.67616
8.482,-0.31327,0.64016,9.31632
8.542,-0.24517,0.61292,9.41166
8.628,-0.05448,0.61292,10.46043
8.715,-0.20431,0.73550,10.56939
8.725,0.12258,0.78998,10.18802
8.848,0.06810,0.64016,10.66473
8.848,-0.19068,1.02153,8.70340
8.913,-0.53119,1.17135,10.47405
9.045,-0.70826,0.50395,10.29698
9.148,-0.61292,0.44947,9.82027
9.245,-1.03515,0.73550,9.53424
9.345,-0.88532,0.54481,9.30270
9.445,-0.73550,0.57205,9.71131
9.550,-0.92618,0.61292,9.26184
9.645,-1.06239,0.31327,10.25612
