time,X_value,Y_value,Z_value
0.000,0.00000,0.00000,0.00000
0.035,-1.60720,1.67530,8.18583
0.135,-1.25307,1.52548,8.86685
0.235,-1.32117,-0.38137,11.80884
0.335,-0.76274,-0.57205,10.66473
0.435,-0.89894,-0.28603,8.59444
0.538,-0.50395,-0.04086,8.09049
0.638,-0.27241,0.20431,8.63530
0.738,-0.47671,0.29965,9.61597
0.843,-1.21221,-2.02943,9.56148
0.957,-1.75702,0.19068,9.83389
1.037,-1.21221,-0.04086,9.72493
1.138,-2.05667,-1.15773,10.48767
1.239,-1.15773,-0.57205,9.19374
1.338,2.20650,0.31327,8.02238
1.436,1.47100,0.66740,7.83170
1.537,1.93409,1.08963,8.81236
1.639,1.23945,1.14411,10.37871
1.739,1.28031,1.44376,10.65111
1.839,1.15773,0.76274,11.74074
1.944,0.35413,-0.20431,10.01096
2.040,1.10325,0.05448,7.70912
2.137,0.35413,0.85808,6.76931
2.240,0.12258,0.38137,9.01667
2.341,-1.37566,0.42223,10.21526
2.440,-1.28031,-0.38137,12.35366
2.538,-1.38928,0.09534,10.47405
2.638,-1.23945,1.17135,6.55139
2.738,-0.62654,1.18497,7.15068
2.841,-0.92618,0.92618,9.92923
2.969,-1.60720,1.02153,10.18802
3.038,-2.80579,1.06239,9.77941
3.142,-1.72978,0.66740,9.60235
3.241,-0.62654,0.99429,7.83170
3.340,0.05448,0.84446,8.53996
3.439,0.55843,0.23155,10.09268
3.540,0.85808,0.39499,9.60235
3.639,0.44947,0.02724,9.15287
3.741,0.29965,0.28603,8.53996
3.839,0.35413,0.21793,9.01667
3.940,0.14982,-0.10896,9.80665
4.040,-0.20431,-0.89894,11.00524
4.139,-1.53910,-0.57205,9.50700
4.239,-0.83084,-0.73550,9.08477
4.339,-0.85808,-0.16344,8.94857
4.443,-0.02724,-0.28603,9.24822
4.543,0.31327,-0.53119,9.64321
4.640,0.09534,-1.11687,10.11992
4.744,0.50395,-0.70826,8.94857
7.965,-2.27460,-0.61292,9.64321
8.119,-1.71616,-0.61292,8.94857
8.167,-1.78427,-0.49033,9.53424
8.263,-2.12477,-0.09534,8.70340
8.363,-1.79789,-0.04086,8.94857
8.467,-0.92618,-0.01362,9.57510
8.563,-0.81722,0.27241,9.31632
8.663,-0.96704,0.39499,9.31632
8.764,-0.83084,0.61292,9.00305
8.863,-0.73550,1.08963,8.92133
8.964,-0.66740,1.03515,9.22098
9.064,-0.92618,0.42223,9.19374
9.164,-0.64016,-0.06810,9.90199
9.264,-0.65378,0.31327,9.24822
9.364,-0.54481,0.05448,10.51491
9.464,-0.35413,0.42223,8.66254
9.567,-0.24517,0.93980,8.96219
9.664,-0.83084,1.21221,8.83961
9.765,-0.66740,0.25879,8.67616
9.867,-1.03515,-0.32689,10.28336
9.965,-2.02943,-0.76274,10.47405
10.066,-1.52548,-0.59930,8.13135
10.167,-0.51757,-0.05448,8.06325
10.265,-0.35413,0.29965,9.15287
10.365,-1.02153,0.73550,9.54786
10.467,-0.40861,0.25879,10.99162
10.565,-0.61292,-0.32689,9.95647
10.665,-0.92618,-1.03515,9.75217
10.768,-0.78998,-0.85808,9.68407
10.865,-1.18497,0.19068,8.22669
10.966,-0.14982,-0.58567,9.57510
11.099,0.02724,0.51757,8.53996
11.166,0.09534,-1.55272,12.93933
11.267,1.28031,-0.74912,10.69197
11.367,1.63444,-0.59930,7.36861
11.466,1.25307,-0.66740,7.74998
11.567,1.06239,-1.11687,9.11201
11.668,1.70254,-1.37566,9.49338
11.768,0.47671,-2.71045,9.50700
11.866,0.54481,-1.37566,9.56148
11.971,-1.30755,-0.21793,7.49119
12.118,0.21793,1.48462,8.19945
12.168,2.98286,1.57996,10.24250
12.269,4.39937,0.29965,9.69769
12.367,4.79436,-0.66740,10.06544
12.473,4.14059,-0.34051,8.59444
12.569,4.90333,-0.34051,6.87828
12.673,5.14849,0.96704,6.27898
12.771,6.25174,1.11687,6.81017
12.870,6.79655,0.40861,8.85323
12.969,6.06105,0.77636,8.33565
13.070,4.93057,0.47671,7.96790
13.173,4.24955,1.19859,6.27898
13.269,5.05315,2.31546,6.46967
13.372,5.61158,2.38356,7.35499
13.471,6.83741,0.31327,9.67045
13.572,5.28470,-1.26669,9.26184
13.672,4.03162,-0.98067,7.81808
13.772,3.22802,-0.31327,7.05534
13.870,4.22231,-0.80360,7.80446
13.971,4.53558,-1.32117,8.82598
14.091,3.86818,-1.34841,8.68978
14.171,4.49471,-1.18497,9.00305
14.270,4.34489,-1.06239,8.71702
14.371,4.53558,-0.87170,8.24031
14.473,4.24955,-0.54481,8.03601
14.572,4.73988,-0.39499,7.72274
14.672,5.61158,-0.78998,7.95428
14.773,5.51624,-0.77636,7.76360
14.871,5.72055,-0.98067,7.92704
14.971,5.40728,-1.18497,8.15859
15.072,4.88970,-1.37566,8.09049
15.171,4.53558,-1.56634,8.09049
15.271,4.44023,-1.83875,8.52634
15.371,5.09401,-1.44376,8.51272
15.472,6.57863,-0.25879,7.61377
15.575,7.10982,-0.25879,7.23240
15.672,6.68759,0.27241,5.93847
15.772,4.54920,-1.41652,8.73064
15.872,0.98067,-0.35413,8.53996
15.972,-0.58567,0.76274,9.69769
16.078,-0.64016,1.68892,9.31632
16.173,-0.40861,1.34841,10.77369
16.274,0.24517,0.12258,12.06763
16.372,-3.70473,1.29393,7.95428
16.472,-5.14849,2.34270,6.27898
16.577,-5.10763,2.38356,7.32775
16.676,-7.76360,2.08391,9.62959
16.777,-8.11773,1.72978,10.96438
16.878,-5.12125,0.81722,7.04172
16.973,-3.33699,0.65378,5.59796
17.091,-2.57425,1.77065,7.46395
17.173,-2.90113,2.54700,7.24603
17.273,-4.33127,1.04877,11.55005
17.378,-2.69683,0.78998,11.08696
17.478,-2.38356,0.72188,8.32203
