time,X_value,Y_value,Z_value
0.000,0.00000,0.00000,0.00000
0.104,-0.89894,3.25526,8.47186
0.206,-1.32117,3.44595,8.58082
0.304,-1.25307,3.47319,8.58082
0.404,-1.28031,3.41871,8.48548
0.504,-1.47100,3.48681,8.30841
0.604,-2.05667,3.21440,8.53996
0.707,-2.34270,2.80579,9.75217
0.807,-2.75131,2.79217,8.89409
0.907,-3.65025,2.46528,8.71702
1.005,-1.89323,2.76493,8.19945
1.107,-2.61511,3.30974,8.21307
1.205,-3.18716,3.18716,8.52634
1.308,-2.90113,3.02372,8.15859
1.407,-2.15201,3.02372,8.79874
1.508,0.21793,2.19288,7.77722
1.607,-3.45957,2.31546,9.01667
1.708,-3.28250,-0.24517,12.02677
1.806,-3.44595,-0.85808,10.43319
1.911,-2.57425,-0.36775,10.32422
2.045,-2.60149,-0.57205,9.34356
2.106,-1.87961,-0.38137,8.26755
2.207,-2.57425,1.21221,6.08830
2.309,-5.97933,1.56634,10.62387
2.408,-5.06677,0.92618,7.19154
2.508,-3.37785,1.72978,8.68978
2.609,-3.30974,2.09753,8.97581
2.712,-2.02943,2.61511,8.89409
2.810,0.54481,4.00438,8.89409
2.909,-0.13620,4.90333,7.27327
3.032,-0.64016,3.41871,6.00657
3.108,-0.95342,3.51405,9.50700
3.210,-3.62301,4.67178,10.54215
3.308,-0.84446,3.45957,7.31413
3.408,0.80360,3.15992,8.00876
3.508,3.50043,1.25307,8.24031
3.610,3.60939,2.16564,9.73855
3.708,0.83084,1.15773,8.98943
3.810,2.80579,1.68892,10.01096
3.908,3.56853,2.47890,8.00876
4.008,1.90685,2.24736,8.49910
4.109,1.60720,1.02153,8.89409
4.208,1.38928,1.55272,8.55358
4.312,3.92266,2.28822,7.65464
4.409,1.21221,1.97495,7.64102
4.511,-0.89894,1.53910,9.54786
4.609,-1.98857,1.62082,9.91561
4.709,-1.94771,1.64806,8.77150
4.809,-1.94771,1.34841,9.53424
4.910,-0.13620,1.04877,9.04391
5.047,-0.12258,1.18497,9.82027
5.109,-0.02724,1.04877,9.76579
5.212,-0.06810,1.04877,8.82598
5.310,0.16344,1.44376,9.39804
5.411,-0.09534,1.34841,9.08477
5.510,-0.19068,1.37566,9.31632
5.610,-0.20431,1.67530,9.43890
5.715,-0.73550,2.12477,8.77150
5.816,-1.68892,2.34270,7.64102
5.914,-2.28822,2.08391,9.12563
6.015,-1.47100,1.33479,9.28908
6.115,0.83084,1.57996,9.31632
6.215,1.44376,3.17354,8.86685
6.315,-0.74912,4.75350,11.57730
6.414,0.23155,7.08258,7.83170
6.517,-2.24736,5.21659,8.82598
6.615,-4.44023,5.93847,8.36289
6.717,-7.53205,7.49119,-4.37213
6.815,-9.37080,5.54348,0.92618
6.916,-8.73064,6.82379,-0.72188
7.017,-10.29698,5.84313,-1.57996
7.118,-9.43890,4.86246,-0.59930
7.215,-7.40947,6.37432,-1.15773
7.318,-7.61377,6.23812,-0.72188
7.416,-8.62168,5.09401,-2.61511
7.516,-5.50262,4.97143,-3.07820
7.616,-5.09401,7.19154,-0.09534
7.716,-7.49119,6.37432,-0.85808
7.816,-6.66035,7.60015,-0.65378
7.916,-7.06896,7.02810,-1.08963
8.016,-7.64102,6.23812,-0.54481
8.116,-9.98372,3.92266,2.36994
8.216,-9.42528,5.18935,2.69683
8.320,-9.24822,4.15421,2.41080
8.417,-8.60806,3.85456,2.77855
8.517,-8.51272,4.38575,2.45166
8.617,-8.21307,4.26317,3.44595
8.717,-6.18364,2.90113,2.38356
8.817,-8.04963,3.20078,3.21440
8.918,-7.30051,4.38575,3.26888
9.017,-8.33565,3.15992,2.69683
9.117,-9.46614,4.33127,1.06239
9.218,-9.58873,3.85456,2.43804
9.317,-8.51272,2.68321,3.02372
9.419,-7.87256,3.41871,2.45166
9.521,-7.96790,5.25745,1.64806
9.617,-8.41737,4.38575,0.44947
9.721,-8.34927,3.67749,0.21793
9.825,-9.73855,6.42880,2.30184
9.924,-8.53996,4.38575,2.73769
10.023,-9.43890,3.20078,2.26098
10.125,-7.69550,3.36423,3.01010
10.223,-6.67397,3.28250,2.98286
10.323,-5.35280,5.52986,4.37213
10.423,-7.66826,5.35280,4.07248
10.523,-6.94638,6.46967,4.03162
10.624,-6.76931,6.22450,4.68540
10.723,-7.36861,5.66606,3.44595
10.827,-0.31327,6.41518,5.32556
10.924,-6.81017,4.54920,4.01800
11.046,-7.15068,7.02810,2.19288
11.124,-4.95781,6.56501,3.25526
