time,X_value,Y_value,Z_value
0.000,0.00000,0.00000,0.00000
0.114,-0.06810,9.43890,1.25307
0.214,-0.17706,9.73855,1.74340
0.314,-0.38137,10.17440,1.67530
0.414,-0.92618,9.95647,2.81941
0.515,-0.72188,9.47976,2.47890
0.617,-1.08963,9.05753,1.86599
0.720,-0.99429,9.03029,1.82513
0.827,-1.02153,9.60235,1.97495
0.916,1.90685,9.88837,1.18497
1.016,-0.09534,9.95647,1.72978
1.115,0.76274,9.41166,2.30184
1.217,0.95342,9.15287,2.05667
1.315,0.65378,8.62168,2.19288
1.416,0.65378,9.24822,1.77065
1.520,0.08172,9.34356,1.87961
1.618,0.02724,9.92923,1.63444
1.716,-0.51757,10.07906,2.39718
1.817,-0.73550,9.16649,2.50614
1.916,-1.08963,8.86685,2.87389
2.016,-0.47671,8.86685,2.19288
2.117,-0.54481,8.89409,1.96133
2.216,0.40861,8.36289,2.53338
2.319,2.61511,6.31984,4.14059
2.417,2.47890,6.91914,3.82732
2.519,-3.44595,8.28117,-1.98857
2.616,-3.77284,9.90199,1.40290
2.719,-1.82513,8.82598,1.55272
2.817,-2.36994,8.88047,1.94771
2.917,-6.29260,11.55005,3.50043
3.062,-7.06896,11.65902,0.78998
3.117,-5.70693,10.09268,-0.69464
3.219,-3.50043,8.21307,0.99429
3.317,-4.90333,7.70912,2.41080
3.418,-7.04172,7.80446,1.44376
3.517,-4.78074,6.98724,2.94200
3.618,-9.08477,9.41166,-0.89894
3.717,-7.30051,6.83741,-3.86818
3.820,-2.51976,5.20297,-0.73550
3.919,-7.05534,6.48329,1.51186
4.021,-10.73283,5.89761,-1.19859
4.119,-10.33784,6.89190,1.18497
4.221,-2.81941,4.35851,-1.72978
4.319,-4.56282,5.47538,-8.45824
4.421,-8.44462,6.71483,-0.19068
4.519,-10.76007,7.12344,1.86599
4.619,-11.37299,0.35413,2.12477
4.722,-5.01229,8.36289,-5.87037
4.820,-6.44242,9.24822,-2.22012
4.920,-4.48109,6.26536,-1.55272
5.020,-1.57996,5.89761,-0.35413
5.123,0.65378,5.99295,-3.89542
5.220,7.28689,12.99381,2.08391
5.328,2.17926,9.73855,0.12258
5.420,2.77855,9.19374,-0.85808
5.522,3.06458,14.02896,-1.77065
5.620,2.27460,11.48195,-3.29612
5.723,1.89323,8.94857,-4.01800
5.820,1.57996,4.60368,-7.50481
5.924,1.62082,2.58787,-7.38223
6.057,1.96133,-0.35413,-8.68978
6.121,1.52548,-1.15773,-8.89409
6.223,1.77065,-1.90685,-8.98943
6.321,2.80579,0.43585,-9.56148
6.422,0.69464,-3.20078,-8.11773
6.521,1.57996,-3.62301,-7.42309
6.626,3.52767,1.45738,-8.11773
6.725,3.25526,5.74779,-8.34927
6.826,3.14630,8.73064,-9.07115
6.925,2.54700,5.31194,-8.03601
7.025,2.51976,3.37785,-7.58653
7.129,3.11906,3.89542,-9.15287
7.227,2.99648,3.96352,-9.38442
7.328,2.20650,5.62520,-9.30270
7.427,2.79217,6.79655,-7.06896
7.528,2.83303,7.09620,-5.59796
7.627,1.86599,7.64102,-4.31765
7.728,1.70254,8.94857,-4.78074
7.827,-0.44947,9.31632,-3.94990
7.927,-0.06810,7.73636,-3.97714
8.064,0.36775,7.06896,-3.96352
8.128,-0.84446,9.39804,-2.81941
8.228,0.95342,9.23460,-5.01229
8.330,1.66168,8.70340,-7.66826
8.428,-0.40861,7.80446,-7.45033
8.530,-2.05667,5.99295,-8.09049
8.631,-2.04305,8.26755,-7.57291
8.730,2.27460,5.28470,-8.70340
8.828,0.93980,4.79436,-8.28117
8.928,-0.35413,1.77065,-7.60015
9.034,0.14982,3.02372,-6.22450
9.128,-8.62168,5.46176,5.44814
9.229,-2.92837,9.07115,-2.02943
9.329,1.30755,7.87256,-8.41737
9.431,-0.29965,5.06677,4.63092
9.529,2.42442,7.88618,0.25879
9.629,-0.01362,10.25612,-4.09972
9.729,-4.23593,8.37651,-4.68540
9.829,-0.78998,6.87828,-4.91695
9.930,-2.12477,6.02019,-5.87037
10.030,-2.57425,6.68759,-6.56501
10.130,-4.48109,6.25174,-7.91342
10.229,-4.99867,3.77284,-7.57291
10.329,-5.08039,2.24736,-7.19154
10.431,-5.66606,0.21793,-8.67616
10.530,-5.51624,0.44947,-7.28689
10.630,-6.22450,-0.61292,-7.76360
10.732,-5.82951,-0.14982,-8.34927
10.831,-4.59006,-0.61292,-7.83170
10.930,-5.58434,1.41652,-8.63530
11.042,-5.36642,0.89894,-8.59444
11.130,-5.18935,0.77636,-8.51272
11.231,-6.44242,-1.15773,-6.70121
11.330,-7.20516,-1.97495,-7.21878
11.430,-6.18364,-1.98857,-7.21878
11.531,0.73550,-0.20431,5.61158
11.630,-6.53777,0.99429,-6.57863
11.746,-6.63311,0.80360,-9.22098
11.831,-5.66606,-0.96704,-7.12344
11.931,-5.80227,0.19068,-8.63530
12.038,-5.73417,-0.38137,-8.25393
12.135,-5.74779,-0.10896,-8.14497
12.231,-5.72055,-0.10896,-7.98152
12.331,-5.69331,-0.08172,-8.02238
12.454,-5.58434,-0.12258,-8.04963
12.531,-5.80227,-0.04086,-8.06325
12.633,-5.82951,0.02724,-8.04963
12.731,-5.78865,0.01362,-7.85894
12.832,-5.70693,-0.06810,-8.14497
12.931,-5.80227,0.02724,-8.04963
13.033,-5.81589,-0.02724,-7.99514
13.133,-5.72055,-0.05448,-8.07687
13.235,-5.82951,0.04086,-8.06325
13.333,-5.81589,0.04086,-8.06325
13.434,-5.82951,0.04086,-8.10411
13.533,-5.66606,0.12258,-7.99514
13.638,-5.73417,0.09534,-7.88618
13.736,-5.95209,0.02724,-7.94066
13.836,-5.72055,0.02724,-8.09049
13.936,-5.73417,0.05448,-8.09049
14.036,-5.59796,0.08172,-8.03601
14.138,-5.67969,-0.31327,-8.14497
14.237,-5.73417,-0.50395,-8.21307
14.336,-6.30622,-0.50395,-7.83170
14.438,-5.47538,0.05448,-8.24031
14.545,-5.99295,-0.02724,-7.70912
14.636,-5.92485,-0.04086,-8.02238
14.739,-5.57072,-0.25879,-8.21307
14.837,-5.62520,-0.09534,-8.11773
14.937,-7.21878,-0.88532,-8.58082
15.044,-5.97933,-0.13620,-8.09049
15.139,-5.89761,-0.19068,-8.28117
15.247,-6.25174,0.09534,-7.53205
15.337,-5.69331,-0.14982,-7.83170
15.439,-5.92485,-0.09534,-7.98152
15.537,-6.03381,-0.23155,-7.87256
15.637,-5.78865,0.02724,-7.92704
15.740,-5.96571,-0.06810,-7.85894
15.840,-5.89761,-0.05448,-7.92704
15.938,-5.87037,-0.12258,-7.88618
16.038,-5.59796,-0.24517,-7.83170
16.138,-5.80227,-0.06810,-7.95428
16.239,-5.69331,0.10896,-8.10411
16.338,-5.81589,0.29965,-7.73636
16.438,-6.07468,0.14982,-8.30841
16.539,-6.49691,0.06810,-6.85104
16.639,-6.66035,-2.31546,-6.44242
16.739,-7.24603,-0.83084,-7.35499
16.840,-6.75569,-1.85237,-7.09620
16.939,-6.63311,-2.08391,-6.31984
17.040,-7.20516,-2.08391,-7.27327
17.139,-6.70121,-1.87961,-7.21878
17.239,-6.52415,-2.05667,-6.94638
17.339,-6.37432,-1.60720,-6.60587
17.441,-6.21088,-1.18497,-7.12344
17.539,-7.31413,-1.96133,-6.34708
17.645,-6.72845,-1.06239,-7.40947
17.741,-6.49691,-2.81941,-6.41518
17.841,-6.53777,-3.62301,-6.23812
17.942,-6.78293,-0.27241,-7.36861
18.086,-6.57863,-1.90685,-7.23240
18.141,-6.22450,-2.35632,-7.19154
18.241,-6.72845,-1.57996,-7.38223
18.342,-6.53777,-1.77065,-6.41518
18.443,-6.76931,-2.05667,-6.76931
18.543,-6.59225,-2.57425,-6.79655
18.641,-5.52986,-2.43804,-6.53777
18.742,-4.93057,-0.04086,-7.83170
18.842,-5.96571,-0.83084,-7.32775
18.941,-5.05315,-0.89894,-9.38442
19.042,-5.21659,-1.07601,-8.83961
19.142,-5.61158,-0.55843,-8.06325
19.246,-6.18364,-1.59358,-8.82598
19.343,-4.90333,-0.21793,-8.25393
19.442,-5.67969,0.13620,-8.15859
19.544,-6.72845,0.24517,-7.01448
19.642,-5.57072,-0.10896,-8.32203
19.742,-6.63311,-0.19068,-7.58653
19.843,-5.42090,-0.19068,-8.02238
19.945,-5.73417,0.13620,-7.96790
20.073,-5.73417,-0.32689,-7.68188
20.143,-5.73417,-0.29965,-8.00876
20.244,-5.48900,-0.35413,-8.25393
20.344,-5.51624,-0.20431,-8.11773
20.443,-5.51624,-0.24517,-8.15859
20.544,-5.58434,-0.20431,-8.21307
20.646,-5.44814,-0.23155,-8.28117
20.744,-5.44814,-0.24517,-8.19945
20.844,-5.54348,-0.28603,-8.17221
20.945,-5.44814,-0.35413,-8.25393
21.059,-5.14849,-0.62654,-6.60587
21.144,-5.48900,-0.17706,-8.06325
21.244,-5.51624,-0.25879,-8.32203
21.348,-5.48900,-0.24517,-8.18583
21.445,-5.35280,-0.28603,-8.19945
21.545,-5.40728,-0.24517,-8.17221
21.646,-5.51624,-0.19068,-8.15859
21.747,-5.46176,-0.25879,-8.18583
21.846,-5.40728,-0.28603,-8.25393
21.946,-5.47538,-0.23155,-8.18583
22.047,-5.43452,-0.23155,-8.25393
22.148,-5.99295,-0.35413,-8.15859
22.246,-4.67178,-0.76274,-8.60806
22.348,-5.10763,-0.92618,-8.59444
22.446,-5.14849,-1.07601,-8.49910
22.550,-5.10763,-0.96704,-8.64892
22.646,-4.79436,-0.72188,-8.62168
22.749,-4.95781,-0.65378,-8.34927
22.850,-5.10763,-0.66740,-8.41737
22.947,-5.12125,-0.62654,-8.36289
23.078,-5.16211,-0.66740,-8.39013
23.147,-5.21659,-0.66740,-8.28117
23.248,-5.29832,-0.61292,-8.28117
23.351,-5.14849,-0.72188,-8.33565
23.447,-5.23021,-0.64016,-8.32203
23.550,-5.27107,-0.59930,-8.37651
23.648,-5.18935,-0.72188,-8.39013
23.749,-5.31194,-0.64016,-8.47186
23.848,-5.20297,-0.47671,-8.28117
23.948,-5.06677,-0.61292,-8.51272
24.052,-5.65244,-0.50395,-7.80446
24.150,-5.46176,-0.57205,-8.17221
24.248,-5.32556,-0.54481,-8.28117
24.350,-5.54348,-0.55843,-8.25393
24.448,-5.29832,-0.76274,-8.34927
24.548,-5.51624,-0.61292,-8.29479
24.648,-5.35280,-0.61292,-8.30841
24.751,-5.25745,-0.50395,-8.21307
24.851,-5.35280,-0.58567,-8.17221
24.949,-5.36642,-0.49033,-8.29479
25.050,-5.32556,-0.61292,-8.32203
25.151,-5.63882,-0.40861,-8.11773
25.249,-6.40156,-1.56634,-9.20736
25.349,-4.94419,-1.25307,-8.55358
25.450,-5.47538,-0.64016,-8.52634
25.552,-5.09401,-0.78998,-8.39013
25.649,-5.17573,-1.02153,-8.28117
25.752,-5.03953,-1.07601,-8.56720
25.850,-5.24383,-1.04877,-8.41737
25.950,-4.97143,-1.32117,-8.51272
26.050,-4.99867,-1.18497,-8.39013
26.150,-4.67178,-1.28031,-8.52634
26.253,-4.83522,-1.04877,-8.21307
26.351,-4.94419,-0.73550,-7.73636
26.452,-4.69902,-1.28031,-8.64892
26.550,-4.99867,-1.15773,-8.51272
26.650,-5.18935,-1.02153,-8.37651
26.751,-5.51624,-0.92618,-8.25393
26.850,-5.38004,-1.08963,-8.39013
26.951,-5.18935,-0.99429,-8.58082
27.083,-5.16211,-0.96704,-8.44462
27.151,-5.13487,-0.87170,-8.41737
