time,X_value,Y_value,Z_value
0.000,0.00000,0.00000,0.00000
0.047,1.48462,7.08258,5.17573
0.145,2.66959,6.11554,6.83741
0.246,2.66959,6.14278,7.05534
0.346,2.47890,6.15640,6.68759
0.446,2.51976,6.00657,6.79655
0.548,2.64235,5.89761,6.89190
0.646,2.49252,6.02019,6.79655
0.748,2.38356,6.03381,6.93276
0.846,2.35632,6.08830,6.76931
0.974,2.31546,6.22450,6.51053
1.049,2.26098,6.37432,6.70121
1.147,2.38356,6.31984,6.71483
1.249,2.08391,6.55139,6.37432
1.347,1.85237,6.83741,5.52986
1.448,-0.13620,9.52062,2.36994
1.548,-0.02724,9.34356,2.31546
1.648,-0.17706,9.38442,2.50614
1.749,-0.17706,9.38442,2.20650
1.849,0.28603,9.22098,2.24736
1.949,0.05448,9.37080,2.26098
2.051,0.17706,9.34356,2.54700
2.149,0.05448,9.47976,2.66959
2.250,0.44947,9.47976,2.83303
2.351,1.41652,9.60235,3.51405
2.451,1.82513,7.72274,1.00791
2.551,-0.49033,7.05534,1.67530
2.649,-0.35413,9.76579,4.73988
2.752,-0.59930,10.31060,4.12697
2.850,-2.31546,7.04172,9.31632
2.951,1.51186,5.14849,8.49910
3.051,-3.17354,8.98943,4.01800
3.150,-2.05667,9.73855,1.98857
3.250,-2.99648,8.59444,-0.73550
3.352,-4.57644,7.92704,-5.87037
3.450,-2.87389,9.23460,-3.60939
3.552,-2.47890,10.74645,-1.71616
3.650,-3.55491,11.19593,-1.71616
3.751,-4.38575,8.60806,1.10325
3.850,-0.28603,10.02458,-0.14982
3.953,-1.94771,9.60235,-1.66168
4.054,-1.51186,8.60806,-1.96133
4.152,-1.29393,8.93495,0.51757
4.261,1.43014,7.89980,-1.92047
4.361,3.54129,7.57291,-5.08039
4.466,4.05886,7.89980,-5.76141
4.561,5.12125,5.05315,-4.50834
4.662,5.06677,7.31413,-8.17221
4.761,2.83303,7.09620,-3.84094
4.863,3.84094,8.22669,-0.57205
4.978,4.79436,7.66826,0.99429
5.061,6.21088,12.54434,-1.66168
5.161,-0.16344,10.55577,-3.67749
5.267,-1.49824,5.39366,-0.61292
5.365,0.55843,8.43099,0.21793
5.463,-0.40861,10.11992,-1.93409
5.564,-1.67530,10.09268,-1.07601
5.663,-6.37432,7.24603,-1.89323
5.766,-3.33699,6.74207,4.38575
5.863,-7.89980,6.45604,-2.49252
5.963,-9.83389,4.18145,-3.02372
6.065,-4.79436,6.18364,1.32117
6.163,2.88751,4.03162,5.76141
6.264,10.84180,11.08696,-1.67530
6.363,4.88970,10.99162,-2.69683
6.464,3.28250,5.03953,1.28031
6.564,4.22231,2.34270,9.50700
6.664,4.52196,3.75922,7.45033
6.765,4.05886,3.02372,7.12344
6.865,4.23593,3.25526,7.31413
6.994,6.19726,4.16783,6.53777
7.066,5.72055,3.25526,6.02019
7.165,5.55710,2.65597,5.92485
7.264,5.08039,1.55272,6.06105
7.367,9.13925,-1.00791,7.00086
7.467,10.10630,-3.30974,4.12697
7.565,10.63749,-2.76493,2.69683
7.666,6.90552,-3.37785,2.79217
7.765,9.97009,-5.69331,4.39937
7.866,8.11773,-4.46747,4.22231
7.965,7.81808,-6.37432,5.42090
8.065,6.64673,-3.09182,4.73988
8.165,7.36861,-2.66959,4.64454
8.265,7.58653,-2.19288,3.77284
8.366,8.28117,-1.77065,3.56853
8.468,9.05753,-1.44376,3.14630
8.566,10.65111,-3.45957,5.09401
8.666,6.98724,-6.51053,6.79655
8.767,5.58434,-3.89542,4.53558
8.867,6.08830,-4.33127,4.20869
8.983,6.34708,-5.03953,3.35061
9.066,6.83741,-5.24383,2.50614
9.171,10.51491,-5.33918,2.43804
9.267,11.95866,-2.50614,7.96790
9.367,6.67397,-1.92047,5.61158
9.467,6.89190,-1.89323,3.85456
9.567,8.41737,-0.21793,3.82732
9.674,8.78512,-2.31546,3.99076
9.767,7.50481,-2.73769,3.37785
9.868,7.70912,-2.47890,2.53338
9.967,10.77369,-4.22231,3.63663
10.069,12.83037,-9.08477,7.05534
10.167,7.45033,-5.17573,4.99867
10.267,3.28250,-2.92837,5.95209
10.367,-0.23155,-1.67530,6.60587
10.467,-2.12477,-5.18935,7.95428
10.567,-0.50395,-1.81151,8.36289
10.667,-3.06458,-1.56634,8.29479
10.768,-3.18716,-4.29041,8.67616
10.869,-0.32689,-2.41080,8.66254
11.000,-0.92618,-2.83303,8.37651
11.069,-0.32689,-3.25526,8.10411
11.168,0.21793,-2.69683,7.72274
11.268,2.08391,-3.20078,9.32994
11.368,3.74560,-0.92618,9.47976
11.470,2.53338,-0.68102,7.83170
11.568,1.07601,-2.57425,7.27327
11.668,4.38575,-1.67530,12.42176
11.768,9.22098,-0.05448,10.16078
11.870,4.03162,-2.34270,8.89409
11.969,1.49824,-1.15773,6.57863
12.071,5.12125,-0.73550,7.92704
12.169,6.04743,-0.02724,7.55929
12.269,5.44814,-1.78427,6.76931
12.369,5.50262,-2.83303,6.02019
12.469,5.66606,-4.54920,6.79655
12.569,7.15068,-4.12697,5.82951
12.673,5.97933,-5.58434,5.66606
12.769,5.92485,-4.79436,6.52415
12.870,5.82951,-2.98286,6.96000
12.970,4.11335,-3.09182,8.17221
13.070,2.73769,-2.26098,8.21307
13.170,3.60939,-1.62082,7.12344
13.269,4.91695,-2.56063,6.48329
13.370,3.96352,-2.34270,6.48329
13.469,4.57644,-3.78646,6.44242
13.570,12.43538,-11.42747,1.44376
13.701,7.02810,-7.43671,0.62654
13.770,7.60015,-6.41518,1.04877
13.870,7.70912,-6.41518,-2.23374
13.999,7.92704,-5.96571,-1.96133
14.070,8.07687,-5.28470,-1.57996
14.170,8.32203,-5.44814,-2.15201
14.279,8.93495,-5.28470,-1.93409
14.370,8.45824,-5.47538,-1.67530
14.472,8.21307,-5.54348,-1.71616
14.571,8.26755,-5.63882,-1.71616
14.680,8.28117,-5.57072,-1.67530
14.770,8.33565,-5.54348,-1.70254
14.871,8.34927,-5.47538,-1.85237
14.971,8.55358,-5.57072,-2.00219
15.072,7.96790,-5.40728,-2.01581
15.171,8.70340,-5.09401,0.96704
15.271,8.93495,-3.73198,3.07820
15.371,7.47757,-3.70473,7.64102
15.475,7.66826,-3.52767,5.14849
15.572,7.54567,-3.77284,5.02591
15.671,7.70912,-4.88970,4.95781
15.772,6.94638,-3.77284,4.75350
15.872,7.12344,-3.35061,4.88970
15.990,8.37651,-2.56063,6.44242
16.073,6.49691,-3.63663,7.60015
16.171,5.33918,-2.60149,6.53777
16.274,2.50614,-2.22012,7.76360
16.372,3.28250,-0.39499,6.75569
16.474,6.89190,-3.18716,5.73417
16.572,7.15068,-3.18716,5.44814
16.672,7.31413,-3.02372,5.78865
16.772,7.49119,-3.06458,5.61158
